Dimension;US_Ranked;Seed_Word;Synonym;Synonyms_adjusted;Similarity_Score
Pricing/Revenue Management;5;revenue_streams;revenue_base;revenue base;0.44894135
Pricing/Revenue Management;5;revenue_streams;revenue_categories;revenue categories;0.436307967
Pricing/Revenue Management;3;revenue_management;revenue_management;revenue management;1
Pricing/Revenue Management;4;revenue_model;revenue_model;revenue model;1
Pricing/Revenue Management;4;revenue_model;revenue_portfolio;revenue portfolio;0.428923965
Pricing/Revenue Management;4;revenue_model;revenue_recognition_model;revenue recognition model;0.348393261
Pricing/Revenue Management;5;revenue_streams;revenue_recognition_policies;revenue recognition policies;0.399579048
Pricing/Revenue Management;5;revenue_streams;revenue_sources;revenue sources;0.497226357
Pricing/Revenue Management;5;revenue_streams;revenue_stream;revenue stream;0.49835369
Pricing/Revenue Management;5;revenue_streams;revenue_streams;revenue streams;1
Pricing/Revenue Management;1;pricing_strategy;product_mix;product mix;0.408783317
Pricing/Revenue Management;1;pricing_strategy;sales_mix;sales mix;0.420905173
Pricing/Revenue Management;4;revenue_model;sales_mix_shift;sales mix shift;0.327311873
Pricing/Revenue Management;5;revenue_streams;sources_of_revenue;sources of revenue;0.421347708
Pricing/Revenue Management;4;revenue_model;subscription_model;subscription model;0.332817942
Pricing/Revenue Management;4;revenue_model;variable_revenue;variable revenue;0.354578227
Risk/Internal Control;4;resource_allocation;risk_appetite;risk appetite;0.43070212
Risk/Internal Control;4;resource_allocation;risk_appetite_statement;risk appetite statement;0.439966679
Risk/Internal Control;5;business_planning;risk_management_practices;risk management practices;0.425134718
Risk/Internal Control;5;business_planning;risk_management_processes;risk management processes;0.439688802
Risk/Internal Control;5;business_planning;risk_monitoring;risk monitoring;0.414215118
Risk/Internal Control;3;capital_allocation;risk_selection;risk selection;0.435225785
Risk/Internal Control;5;cost_benefit_analysis;resolution_plan;resolution plan;0.36419335
Risk/Internal Control;4;financial_planning;risk_advisory;risk advisory;0.430011094
Risk/Internal Control;2;operations_management;internal_audit;internal audit;0.454100192
Risk/Internal Control;5;scorecard;lines_of_defense;lines of defense;0.390292406
Risk/Internal Control;3;track_performance;mitigate_foreign_currency_risk;mitigate foreign currency risk;0.386507779
Risk/Internal Control;5;scorecard;risk_types;risk types;0.400722116
Risk/Internal Control;3;track_performance;balance_risk;balance risk;0.358719081
Risk/Internal Control;2;internal_reporting;erm_program;erm program;0.420080394
Risk/Internal Control;3;track_performance;minimize_risk;minimize risk;0.369104207
Risk/Internal Control;3;track_performance;mitigate_compliance_risk;mitigate compliance risk;0.434504986
Risk/Internal Control;5;scorecard;enterprise_risk_management_program;enterprise risk management program;0.389672071
Risk/Internal Control;2;internal_reporting;risk_appetite_framework;risk appetite framework;0.443048418
Risk/Internal Control;5;scorecard;risk_framework;risk framework;0.397170484
Risk/Internal Control;5;scorecard;risk_governance_framework;risk governance framework;0.408019811
Risk/Internal Control;2;internal_reporting;risk_governance_structure;risk governance structure;0.445170671
Risk/Internal Control;5;scorecard;risk_management_framework;risk management framework;0.421684712
Risk/Internal Control;5;scorecard;risk_inventory;risk inventory;0.441671282
Risk/Internal Control;5;scorecard;var_model;var model;0.414085358
Risk/Internal Control;1;internal_control;assessment_of_internal_control;assessment of internal control;0.466037482
Risk/Internal Control;1;internal_control;assessment_of_internal_controls;assessment of internal controls;0.49456346
Risk/Internal Control;1;internal_control;audit_of_internal_control;audit of internal control;0.460272104
Risk/Internal Control;2;risk_assessment;board_oversight;board oversight;0.489137352
Risk/Internal Control;1;internal_control;change_in_internal_control;change in internal control;0.407922864
Risk/Internal Control;1;internal_control;changes_in_internal_control;changes in internal control;0.453090549
Risk/Internal Control;1;internal_control;changes_in_internal_controls;changes in internal controls;0.428980827
Risk/Internal Control;2;risk_assessment;chief_risk_officer;chief risk officer;0.489877313
Risk/Internal Control;4;control_system;cloud_based_monitoring_platform;cloud based monitoring platform;0.379709423
Risk/Internal Control;5;risk_management_policies;compliance_policies;compliance policies;0.537577808
Risk/Internal Control;5;risk_management_policies;contingency_funding_plans;contingency funding plans;0.509655178
Risk/Internal Control;2;risk_assessment;control_assessment;control assessment;0.48598364
Risk/Internal Control;1;internal_control;control_environment;control environment;0.401818365
Risk/Internal Control;2;risk_assessment;control_framework;control framework;0.530342102
Risk/Internal Control;4;control_system;control_systems;control systems;0.368188977
Risk/Internal Control;1;internal_control;controls;controls;0.396123797
Risk/Internal Control;5;risk_management_policies;corporate_governance_practices;corporate governance practices;0.476186246
Risk/Internal Control;5;risk_management_policies;corporate_policies;corporate policies;0.483378023
Risk/Internal Control;5;risk_management_policies;credit_policies;credit policies;0.53430748
Risk/Internal Control;5;risk_management_policies;credit_risk_policies;credit risk policies;0.495425075
Risk/Internal Control;5;risk_management_policies;cybersecurity_program;cybersecurity program;0.48569721
Risk/Internal Control;1;internal_control;disclosure_controls;disclosure controls;0.524520814
Risk/Internal Control;1;internal_control;effective_internal_control;effective internal control;0.405613035
Risk/Internal Control;1;internal_control;effectiveness_of_internal_controls;effectiveness of internal controls;0.487974226
Risk/Internal Control;2;risk_assessment;emerging_risks;emerging risks;0.487948358
Risk/Internal Control;3;risk_oversight;enterprise_risk_management;enterprise risk management;0.524615049
Risk/Internal Control;2;risk_assessment;erm_framework;erm framework;0.484303921
Risk/Internal Control;5;risk_management_policies;established_policies;established policies;0.614684045
Risk/Internal Control;4;control_system;evaluation_of_controls;evaluation of controls;0.420969069
Risk/Internal Control;2;risk_assessment;governance_framework;governance framework;0.486666441
Risk/Internal Control;1;internal_control;icfr;icfr;0.439976513
Risk/Internal Control;3;risk_oversight;independent_oversight;independent oversight;0.599907756
Risk/Internal Control;2;risk_assessment;independent_risk_management;independent risk management;0.512245238
Risk/Internal Control;1;internal_control;internal_control_structure;internal control structure;0.508911967
Risk/Internal Control;1;internal_control;internal_control_system;internal control system;0.437036663
Risk/Internal Control;1;internal_control;internal_controls;internal controls;0.708963096
Risk/Internal Control;5;risk_management_policies;internal_policies;internal policies;0.472446144
Risk/Internal Control;2;risk_assessment;key_risk_indicators;key risk indicators;0.499798924
Risk/Internal Control;1;internal_control;maintain_effective_internal_control;maintain effective internal control;0.399164885
Risk/Internal Control;1;internal_control;maintained_effective_internal_control;maintained effective internal control;0.451558977
Risk/Internal Control;1;internal_control;maintaining_adequate_internal_control;maintaining adequate internal control;0.40741238
Risk/Internal Control;5;risk_management_policies;management_of_market_risk;management of market risk;0.469371319
Risk/Internal Control;5;risk_management_policies;market_risk_policies;market risk policies;0.595611989
Risk/Internal Control;3;risk_oversight;model_risk_management;model risk management;0.514707565
Risk/Internal Control;2;risk_assessment;model_validation;model validation;0.497190475
Risk/Internal Control;2;risk_assessment;operational_risk_framework;operational risk framework;0.483331919
Risk/Internal Control;1;internal_control;overall_internal_control;overall internal control;0.458989412
Risk/Internal Control;1;internal_control;report_on_internal_control;report on internal control;0.43404758
Risk/Internal Control;2;risk_assessment;risk_assessment_process;risk assessment process;0.527958035
Risk/Internal Control;2;risk_assessment;risk_assessments;risk assessments;0.583530366
Risk/Internal Control;5;risk_management_policies;risk_exposures;risk exposures;0.474850267
Risk/Internal Control;3;risk_oversight;risk_governance;risk governance;0.597669899
Risk/Internal Control;2;risk_assessment;risk_identification;risk identification;0.566677332
Risk/Internal Control;5;risk_management_policies;risk_limits;risk limits;0.592303514
Risk/Internal Control;3;risk_oversight;risk_management;risk management;0.537096858
Risk/Internal Control;2;risk_assessment;risk_management_function;risk management function;0.499892801
Risk/Internal Control;5;risk_management_policies;risk_management_policy;risk management policy;0.562258184
Risk/Internal Control;5;risk_management_policies;risk_management_procedures;risk management procedures;0.493273288
Risk/Internal Control;2;risk_assessment;risk_management_process;risk management process;0.539995432
Risk/Internal Control;5;risk_management_policies;risk_management_strategies;risk management strategies;0.485739708
Risk/Internal Control;5;risk_management_policies;risk_measurement;risk measurement;0.479571849
Risk/Internal Control;3;risk_oversight;risk_oversight;risk oversight;1
Risk/Internal Control;5;risk_management_policies;risk_policies;risk policies;0.59795028
Risk/Internal Control;2;risk_assessment;risk_reporting;risk reporting;0.499987811
Risk/Internal Control;2;risk_assessment;scenario_analysis;scenario analysis;0.493437111
Risk/Internal Control;4;control_system;security_platform;security platform;0.374031872
Risk/Internal Control;3;risk_oversight;operational_risk_management;operational risk management;0.536263943
Risk/Internal Control;3;risk_oversight;control_functions;control functions;0.513775349
Risk/Internal Control;3;risk_oversight;independent_control_functions;independent control functions;0.507779241
Risk/Internal Control;3;risk_oversight;vendor_risk_management;vendor risk management;0.498932004
Risk/Internal Control;3;risk_oversight;fiduciary_risk;fiduciary risk;0.479119807
Risk/Internal Control;3;risk_oversight;management_of_risks;management of risks;0.476848722
Risk/Internal Control;1;internal_control;subsidiaries_internal_control;subsidiaries internal control;0.444061846
Risk/Internal Control;4;control_system;system_of_controls;system of controls;0.509471357
Risk/Internal Control;4;control_system;system_of_disclosure_controls;system of disclosure controls;0.364472866
Risk/Internal Control;1;internal_control;system_of_internal_control;system of internal control;0.588557243
Risk/Internal Control;1;internal_control;system_of_internal_controls;system of internal controls;0.436709553
Risk/Internal Control;5;risk_management_policies;valuation_policies;valuation policies;0.498913258
Risk/Internal Control;3;risk_oversight;management_of_risk;management of risk;0.582303643
Risk/Internal Control;3;risk_oversight;management_oversight;management oversight;0.482818455
Risk/Internal Control;1;internal_control;internal_control;internal control;1
Risk/Internal Control;4;control_system;control_system;control system;1
Risk/Internal Control;2;risk_assessment;risk_assessment;risk assessment;1
Risk/Internal Control;5;risk_management_policies;risk_management_policies;risk management policies;1
Strategy;2;budgeting;change_management;change management;0.417992026
Strategy;3;planning;corporate_strategy;corporate strategy;0.4261823
Strategy;4;resource_allocation;organization_structure;organization structure;0.422957778
Strategy;5;business_planning;organizational_design;organizational design;0.430253416
Strategy;5;business_planning;strategic_direction;strategic direction;0.476713538
Strategy;2;budgeting;strategic_planning;strategic planning;0.532907665
Strategy;5;business_planning;strategy_development;strategy development;0.418905228
Strategy;3;cost_structure;operating_model;operating model;0.450271875
Strategy;3;cost_structure;operating_structure;operating structure;0.446905315
Strategy;3;cost_structure;turnaround_plan;turnaround plan;0.458776593
Strategy;2;internal_reporting;management_structure;management structure;0.487981409
Strategy;2;internal_reporting;new_operating_structure;new operating structure;0.438514858
Strategy;2;internal_reporting;reporting_structure;reporting structure;0.443253219
Strategy;2;internal_reporting;segment_structure;segment structure;0.442750722
Strategy;2;product_pricing;competitive_environment;competitive environment;0.374791205
Strategy;1;pricing_strategy;long_term_growth_strategies;long term growth strategies;0.424951702
Strategy;3;revenue_management;business_development;business development;0.449575841
Strategy;1;pricing_strategy;business_mix;business mix;0.485874355
Strategy;1;pricing_strategy;global_business_strategy;global business strategy;0.438938558
Strategy;4;revenue_model;innovate_to_elevate_strategy;innovate to elevate strategy;0.32434839
Strategy;3;revenue_management;new_business_development;new business development;0.438410699
Strategy;1;pricing_strategy;business_model;business model;0.490927935
Strategy;1;pricing_strategy;go_to_market_strategy;go to market strategy;0.466169447
Strategy;1;pricing_strategy;long_term_growth_strategy;long term growth strategy;0.41918394
Strategy;1;pricing_strategy;long_term_strategic_plan;long term strategic plan;0.409534127
Strategy;1;pricing_strategy;operating_strategy;operating strategy;0.417321026
Strategy;3;revenue_management;strategy_officer;strategy officer;0.437019408
Strategy;3;risk_oversight;board_leadership_structure;board leadership structure;0.538083851
Strategy;1;strategic_initiatives;acquisition_strategy;acquisition strategy;0.470241487
Strategy;1;strategic_initiatives;business_development_initiatives;business development initiatives;0.456220835
Strategy;4;strategic_objectives;business_goals;business goals;0.521604896
Strategy;1;strategic_initiatives;business_initiatives;business initiatives;0.609898925
Strategy;2;business_strategy;business_objectives;business objectives;0.498474687
Strategy;2;business_strategy;business_plan;business plan;0.51792717
Strategy;2;business_strategy;business_plans;business plans;0.486506581
Strategy;1;strategic_initiatives;business_strategies;business strategies;0.52305156
Strategy;5;organizational_structure;business_structure;business structure;0.502030432
Strategy;1;strategic_initiatives;business_transformation;business transformation;0.490933508
Strategy;3;core_competencies;capabilities;capabilities;0.575482845
Strategy;3;core_competencies;competencies;competencies;0.500830889
Strategy;3;core_competencies;core_capabilities;core capabilities;0.560727596
Strategy;3;core_competencies;core_competency;core competency;0.51020205
Strategy;2;business_strategy;core_strategy;core strategy;0.488461614
Strategy;3;core_competencies;core_strengths;core strengths;0.515172422
Strategy;2;business_strategy;corporate_strategies;corporate strategies;0.482745677
Strategy;5;organizational_structure;corporate_structure;corporate structure;0.516920626
Strategy;2;business_strategy;customer_strategy;customer strategy;0.538457096
Strategy;3;core_competencies;design_expertise;design expertise;0.528203309
Strategy;3;core_competencies;domain_expertise;domain expertise;0.571744502
Strategy;3;core_competencies;existing_capabilities;existing capabilities;0.578758359
Strategy;3;core_competencies;expertise;expertise;0.55750072
Strategy;3;core_competencies;global_presence;global presence;0.516763806
Strategy;5;organizational_structure;global_structure;global structure;0.515284896
Strategy;1;strategic_initiatives;growth_initiatives;growth initiatives;0.565441251
Strategy;4;strategic_objectives;growth_objectives;growth objectives;0.512018621
Strategy;1;strategic_initiatives;growth_strategies;growth strategies;0.537668943
Strategy;1;strategic_initiatives;growth_strategy;growth strategy;0.531290531
Strategy;4;strategic_objectives;growth_targets;growth targets;0.539400935
Strategy;3;core_competencies;innovation_pipeline;innovation pipeline;0.506748438
Strategy;3;core_competencies;innovative_technologies;innovative technologies;0.503562987
Strategy;1;strategic_initiatives;key_initiatives;key initiatives;0.510105968
Strategy;5;organizational_structure;leadership_structure;leadership structure;0.488949835
Strategy;5;organizational_structure;legal_entity_structure;legal entity structure;0.496185303
Strategy;4;strategic_objectives;long_term_financial_objectives;long term financial objectives;0.46702832
Strategy;4;strategic_objectives;long_term_growth_objectives;long term growth objectives;0.486111075
Strategy;4;strategic_objectives;long_term_objectives;long term objectives;0.548661292
Strategy;4;strategic_objectives;long_term_strategic_goals;long term strategic goals;0.482252091
Strategy;4;strategic_objectives;long_term_strategic_objectives;long term strategic objectives;0.538505256
Strategy;2;business_strategy;long_term_strategy;long term strategy;0.609009445
Strategy;5;organizational_structure;management_team;management team;0.475785553
Strategy;3;core_competencies;market_leadership;market leadership;0.524735391
Strategy;5;organizational_structure;new_operating_model;new operating model;0.47037676
Strategy;5;organizational_structure;operational_structure;operational structure;0.497326672
Strategy;1;strategic_initiatives;organizational_changes;organizational changes;0.501996756
Strategy;5;organizational_structure;organizational_model;organizational model;0.47263357
Strategy;2;business_strategy;overall_business_strategy;overall business strategy;0.555760324
Strategy;2;business_strategy;overall_strategy;overall strategy;0.513852477
Strategy;3;core_competencies;portfolio_of_offerings;portfolio of offerings;0.507514775
Strategy;4;strategic_objectives;profitability_objectives;profitability objectives;0.480976224
Strategy;5;organizational_structure;reportable_segment_structure;reportable segment structure;0.563756108
Strategy;1;strategic_initiatives;strategic_actions;strategic actions;0.455422074
Strategy;4;strategic_objectives;strategic_goals;strategic goals;0.611714423
Strategy;1;strategic_initiatives;strategic_growth_initiatives;strategic growth initiatives;0.53036356
Strategy;2;business_strategy;strategic_plan;strategic plan;0.605514765
Strategy;2;business_strategy;strategic_plans;strategic plans;0.527920008
Strategy;1;strategic_initiatives;strategic_priorities;strategic priorities;0.472953916
Strategy;1;strategic_initiatives;strategic_transactions;strategic transactions;0.466484457
Strategy;2;business_strategy;strategic_vision;strategic vision;0.482210517
Strategy;2;business_strategy;sustainability_strategy;sustainability strategy;0.503656685
Strategy;3;core_competencies;talent_pipeline;talent pipeline;0.504876316
Strategy;3;core_competencies;technological_expertise;technological expertise;0.527386487
Strategy;1;strategic_initiatives;technology_initiatives;technology initiatives;0.511660933
Strategy;3;core_competencies;technology_leadership;technology leadership;0.538375378
Strategy;3;core_competencies;technology_portfolio;technology portfolio;0.509561539
Strategy;1;strategic_initiatives;transformation_initiative;transformation initiative;0.513458312
Strategy;1;strategic_initiatives;transformation_initiatives;transformation initiatives;0.500401914
Strategy;3;core_competencies;leading_market_positions;leading market positions;0.526566148
Strategy;3;core_competencies;leading_positions;leading positions;0.527593315
Strategy;3;core_competencies;manufacturing_capabilities;manufacturing capabilities;0.5089674
Strategy;4;strategic_objectives;strategic_business_objectives;strategic business objectives;0.493285656
Strategy;1;strategic_initiatives;transformational_initiatives;transformational initiatives;0.454892844
Strategy;3;core_competencies;unique_competitive_advantages;unique competitive advantages;0.508935928
Strategy;2;business_strategy;business_strategy;business strategy;1
Strategy;3;core_competencies;core_competencies;core competencies;1
Strategy;5;organizational_structure;organizational_structure;organizational structure;1
Strategy;1;strategic_initiatives;strategic_initiatives;strategic initiatives;1
Strategy;4;strategic_objectives;strategic_objectives;strategic objectives;1
